,Unnamed: 0,Unnamed: 0.1,Number,P_Name,Desc,locality,District,Zone,Category,Latitude,Longitude,Popular_for,img_path,Openig_Time
83,83,83,84,Pullahari Monastery,"Sights & Landmarks,Sacred & Religious Sites",,"Kathmandu, ","Kathmandu, ","Monastery,Gumba",27.727839,85.378207,4.5,Pullahari Monastery.jpg,Always Open
170,170,170,171,Purna Work Shop,No description,"Satghumti, Thamel","Kathmandu, ","Kathmandu, ","Shopping,Museum,Art Gallery",27.715492,85.308899,,Purna Work Shop.jpg,10:00 AM-7:00 PM
166,166,166,167,Rainbow Thanka Gallery,"Rainbow Thanka Gallery is one of the oldest Thanka Gallery of Thamel. Established in the year 1989, It was established with the aim of supplying unique, genuine and quality Nepalese Thangka paintis for customers. With the experience and expertise we had since last two decades, we are able to supply varieties of Thanka arts maintaining quality and authentic painting procedure.","453, Narsing Chowk, Thamel","Kathmandu 44600, ",Bagmati,"Gift & Specialty Shop,Art Gallery,shopping,Museum",27.7145,85.311253,,Rainbow Thanka Gallery.jpg,Always Open
128,128,128,129,Rani Pokhari (Queen's Pond),"Scenic Walking Areas,Points of Interest & Landmarks,Sights & Landmarks",,"Kathmandu, ","Kathmandu, ",Walking Tour,27.708007,85.315722,3.5,Rani Pokhari (Queen's Pond).jpg,Always Open
195,195,195,196,Ratna Park,No description,Ratna Park Path,"Kathmandu 44600, ",Bagmati,"Nature & Park ,Garden",27.706157,85.315076,2.5,Ratna Park.jpg,10:00 AM-7:00 PM
39,39,39,40,Rato Machhendranath Temple,"Sights & Landmarks,Sacred & Religious Sites",South of Durbar SqKatmandu Valley,"Patan (Lalitpur), ","Patan (Lalitpur), ",Temple,27.629656,85.302125,4,Rato Machhendranath Temple.jpg,Always Open
199,199,199,200,Rose Mountain Tours and Travels,"Multi-day Tours,Nature & Wildlife Areas,Sightseeing Tours,Nature & Parks Tours More",,"Kathmandu, ","Kathmandu, ",Tour and Travel Agency,27.71121,85.311879,,Rose Mountain Tours and Travels.jpg,Always Open
30,30,30,31,Rudra Varna Mahavihar,This is an historic Buddhist monastery said to be used for coronation ceremonies; many statues and treasures adorn the walls and altars.,,"Patan (Lalitpur), ","Patan (Lalitpur), ","Sacred & Religious,monastery,gumba",27.668109,85.32707,4.5,Rudra Varna Mahavihar.jpg,Always Open
176,176,176,177,Rugged Trails Nepal,"Rugged Trails Nepal is one of the top Trekking And Tour Company located in Kathmandu Nepal, rendering services to the explorers from around the world. Rugged Trails Nepal is a registered Company under the Government of Nepal and recognized by the Ministry of Tourism. We are a team of dedicated and well experienced people ready to give a very special attention to make your trip worthwhile and unforgettable. We offer a wide range of tours / trekking packages and tailored made programes as per the client's request.","Kwa-Bahal, Thahity, Thamel, KathmanduThahity Chowk",,,"Nature & Wildlife Tours,Day Trips,Historical & Heritage Tours,Hiking Trails,Walking Tours,Nature & Park,Outdoor Activities Tours",27.710891,85.311072,5,Rugged Trails Nepal.jpg,9:30 AM-7:00 PM
18,18,18,19,Sankhu Village,"Sights & Landmarks,Points of Interest & Landmarks,Historic Walking Areas",Between Kathmandu And Lhasa,"Kathmandu 44600, ",Bagmati,Hiking,27.512508,85.329129,4.5,Sankhu Village.jpg,Always Open
76,76,76,77,Seto Machindranath Temple,"Sacred & Religious Sites,Sights & Landmarks","Kel Tole ,Old Kathmandu","Kathmandu 44600, ",Bagmati,Temple,27.706676,85.310249,4.5,Seto Machindranath Temple.jpg,Always Open
104,104,104,105,Shiva Mandir Temple,"Sacred & Religious Sites,Architectural Buildings,Sights & Landmarks",Indra Chowk,"Kathmandu 44600, ",Bagmati,Temple,27.706149,85.309421,4,Shiva Mandir Temple.jpg,Always Open
99,99,99,100,Shiva Parvati Mandir Temple,"Sacred & Religious Sites,Architectural Buildings,Points of Interest & Landmarks,Sights & Landmarks More",Durbar Square,"Kathmandu 44600, ",Bagmati,Temple,27.704186,85.306778,4,Shiva Parvati Mandir Temple.jpg,Always Open
88,88,88,89,Siddha Pokhari,"Points of Interest & Landmarks,Bodies of Water,Nature & Parks,Sights & Landmarks",,"Bhaktapur 44800, ","Bhaktapur 44800, ","Pond,lake",27.671989,85.420307,4,Siddha Pokhari.jpg,Always Open
115,115,115,116,Singha Sattal (Silyan Sattal),"Points of Interest & Landmarks,Architectural Buildings,Sights & Landmarks",Durbar Square,"Kathmandu 49600, ","Kathmandu 49600, ",Historical building,27.703716,85.305774,3,Singha Sattal (Silyan Sattal).jpg,Always Open
113,113,113,114,Stone Vishnu Mandir Temple,"Sights & Landmarks,Points of Interest & Landmarks,Architectural Building,Sacred & Religious Site More",Durbar Square,"Kathmandu 44600, ",Bagmati,Temple,43.838016,-79.430385,3.5,Stone Vishnu Mandir Temple.jpg,Always Open
187,187,187,188,Sundarijal Water Falls,No description,Sundairjal,"Kathmandu, ","Kathmandu, ","Waterfall,Nature & Park",27.758575,85.420116,5,Sundarijal Water Falls.jpg,Always Open
33,33,33,34,Swayambhunath Temple,"Sights & Landmarks,Sacred & Religious Sites",Swayamhu Circle Road,"Kathmandu 44600, ",Bagmati,"Stupa,Gumba",27.714779,85.29038,4.5,Swayambhunath Temple.jpg,4:00 AM-9:00 PM
177,177,177,178,Swiss Family Treks & Expedition,"Our agency is specialized for treks and all kinds of sightseeing with family and people, who want to enjoy a holiday and see a lot more from this country. If you travel with your family, you can be sure, to be welcomed even warmer. It is the friendliness of the people here, which will make your trip complete. This may be one of the main factors to travel to Asia for a family holiday. We will make sure to organize your stay in a way, that you get the most out of the country and culture. 9 years experience traveling with kids here in Nepal, India and Tibet have showed, it is the perfect destination for a wonderful trek, combined with cultural/handicraft sightseeing and a lot more. For certain destinations we offer horses for the kids, or they will simply be carried. We will provide you always a local guide, which will help you to explore and explain the country and culture. And be assured, there is a lot to explore and see! Whilst the local peoples natural friendliness here will undoubtedly impress you and in addition you get all these fascinating, almost magical landscapes.",4 Seshnarayan,"Kathmandu 44600, ",Bagmati,"Hiking & Camping Tours,Multi-day Tours,Biking Trails,Nature & Wildlife Tours,Nature & Parks,Outdoor Activities,Tours More",27.612408,85.265194,5,Swiss Family Treks & Expedition.jpg,Always Open
4,4,4,5,Taleju Bell,"Historical Sites,Points of Interest & Landmarks,Sights & Landmarks",Durbar Marg,"Patan (Lalitpur) 44700, ","Patan (Lalitpur) 44700, ",Historical place,27.673163,85.325139,4,Taleju Bell.jpg,Always Open
3,3,3,4,Taleju Mandir Temple,"Sacred & Religious Sites,Architectural Building,Temple",Mangal Bazaar,"Patan (Lalitpur) 44700, ","Patan (Lalitpur) 44700, ",Temple,27.673163,85.325139,4.5,Taleju Mandir Temple.jpg,Always Open
67,67,67,68,Taleju Temple,"Sacred & Religious Sites,Sights & Landmarks",Kathmandu Durbar Square,"Bhaktapur 44800, ","Bhaktapur 44800, ",Temple,27.704948,85.308056,4,Taleju Temple.jpg,Always Open
152,152,152,153,Taragaon Museum,No description,Boudhanath Sadak,"Kathmandu 44600, ",Bagmati,History Museum,27.720063,85.356808,5,Taragaon Museum.jpg,Always Open
182,182,182,183,Taudaha Lake,"Nature & Parks,Bodies of Water",Dakshin Kali Road,"Kathmandu 44600, ",Bagmati,Lake,27.6487,85.282,4,Taudaha Lake.jpg,Always Open
9,9,9,10,Taumadhi Square,"Points of Interest & Landmarks,Sights & Landmarks",,"Bhaktapur 44800, ","Bhaktapur 44800, ",Durbar,27.670907,85.429094,4.5,Taumadhi Square.jpg,Always Open
44,44,44,45,Temples of Machchhendra Nath and Min Nath,"Sacred & Religious Sites,Sights & Landmarks",,"Patan (Lalitpur), ","Patan (Lalitpur), ",Temple,27.670346,85.32287,4,Temples of Machchhendra Nath and Min Nath.jpg,Always Open
124,124,124,125,Templo de Changu Narayan,"Points of Interest & Landmarks,Sacred & Religious Sites,Sights & Landmarks",Changunarayan,"Kathmandu, ","Kathmandu, ",Temple,27.716274,85.427891,4,Templo de Changu Narayan.jpg,Always Open
192,192,192,193,Tenjin Eco Trek,"Outdoor Activities,Tours,Nature & Parks,Climbing Tours,Hiking & Camping Tours,Nature & Wildlife Tours,Eco Tours,Hiking TrailsMore",,"Kathmandu 44600, ",Bagmati,Nature and park,27.72776,85.357098,5,Tenjin Eco Trek.jpg,Always Open
137,137,137,138,Thahiti Chowk,"Monuments & Statues,Points of Interest & Landmarks,Sights & Landmarks",,"Kathmandu, ","Kathmandu, ",Monument and building,0,0,3.5,Thahiti Chowk.jpg,Always Open
38,38,38,39,The Ashokan Stupas,"Patan is home to four Buddhist stupas built by Emperor Ashoka. In his eighth year of rule Emperor Ashoka saw firsthand the bloody carnage caused by a war he sanctioned; humbled, he turned to Buddhism and ordered over 80,000 shrines and temples constructed in his empire.",,"Patan (Lalitpur), ","Patan (Lalitpur), ",Sacred & Religious Site,0,0,4,The Ashokan Stupas.jpg,Always Open
196,196,196,197,The Central Zoo,A 17th century boating pond is a charming feature of this popular zoo.,Jawalakhel,"Patan (Lalitpur), ","Patan (Lalitpur), ","Nature & Park,Zoo & Aquarium",27.673274,85.310714,3.5,The Central Zoo.jpg,9:00 AM-5:00 PM
156,156,156,157,The City Museum Kathmandu,No description,Paryatak Marg,"Kathmandu 44600, ",Bagmati,Museum,27.711123,85.318305,4,The City Museum Kathmandu.jpg,9:00 AM-7:00 PM
28,28,28,29,The Crematoria,Sights & Landmarks,Bagmati River,"Kathmandu 44600, ",Bagmati,Sacred & Religious Site,27.46247,85.362486,4,The Crematoria.jpg,12:00 AM-11:59 PM
150,150,150,151,The National Museum,"TripAdvisor gives a Certificate of Excellence to accommodations, attractions and restaurants that consistently earn great reviews from travelers ",Chhauni,"Kathmandu 44600, ",Bagmati,"History Museum,Art, ",27.7057,85.28876,4,The National Museum.jpg,Always Open
153,153,153,154,The Natural History Museum,No description,Manjushree Bajaar,"Kathmandu 44600, ",Bagmati,National History Museum,38.958545,-95.243696,3.5,The Natural History Museum.jpg,Always Open
151,151,151,152,"The Tribhuvan, Mahendra, and Birendra Museums",No description,Hanuman Dhoka Palace,"Kathmandu 44600, ",Bagmati,Specialty Museum,27.704354,85.307213,4,"The Tribhuvan, Mahendra, and Birendra Museums.jpg",Always Open
73,73,73,74,Til Mahadev Narayan Mandir,"Sacred & Religious Sites,Sights & Landmarks",Taumadhi Square,"Bhaktapur, ","Bhaktapur, ",Temple,0,0,3.5,Til Mahadev Narayan Mandir.jpg,Always Open
90,90,90,91,Traditional Thangka Paintings Gallery & Workshop,"Sights & Landmarks,Points of Interest & Landmarks","Taumadi 11, Five Storeyed Temple","Bhaktapur 44800, ","Bhaktapur 44800, "," Art Gallery,Museum,Shopping",0,0,4.5,Traditional Thangka Paintings Gallery & Workshop.jpg,Always Open
112,112,112,113,Tri Chandra Collage,"Architectural Building,Sights & Landmarks",Durbar Marg,"Kathmandu 44600, ",Bagmati,historical place,27.708714,85.31652,4,Tri Chandra Collage.jpg,Always Open
189,189,189,190,Tribhuvan Park,Tribhuwan park is picnic spot. Which is situated at thankot of kathmandu . it is about 15 minutes drive towards west from kalanki . this park lies by the highway which makes easy access to those who want to enjoy their free time visiting the park and going there for picnic.,44619 Kathmandu Tribhuvan HighwayKalanki Thankot road,"Kathmandu 44600, ",Bagmati,Nature & Park,27.689962,85.220809,3.5,Tribhuvan Park.jpg,10:00 AM-4:00 PM
98,98,98,99,Tridevi Temple,"Architectural Buildings,Sacred & Religious, SitesSights & Landmarks",Tridevi SadakThamel,"Kathmandu 44600, ",Bagmati,Temple,27.713845,85.313914,4,Tridevi Temple.jpg,Always Open
155,155,155,156,Universal Art Gallery,"Universal Art Gallery is one of the Gallery having Exclusive collections of varieties of Arts and Crafts. We have varieties of collections on Handicrafts, Landscape and Modern Arts, Portraits and traditional arts. Most importantly we are specialized on custom sized paintings and portraits of family.",453 Narshing ChowkThamel,"Kathmandu 44600, ",Bagmati,"Art Gallery,Museum,Shopping",27.714451,85.311268,5,Universal Art Gallery.jpg,7:30 AM-8:00 PM
81,81,81,82,Vajrayogini Temple,"Sacred & Religious Sites,Sights & Landmarks",,"Kathmandu, ","Kathmandu, ",Temple,27.740555,85.469947,4.5,Vajrayogini Temple.jpg,Always Open
89,89,89,90,Vatsala Durga Temple,"Points of Interest & Landmarks,Sights & Landmarks",Durbar Square,"Bhaktapur 44800, ","Bhaktapur 44800, ",Temple,27.671941,85.428418,4.5,Vatsala Durga Temple.jpg,Always Open
103,103,103,104,Vishnu Mandir Temple,"Points of Interest & Landmarks,Sacred & Religious Sites,Architectural Buildings,Sights & Landmarks More",Durbar Square,"Kathmandu 44600, ",Bagmati,Temple,43.838016,-79.430385,4,Vishnu Mandir Temple.jpg,Always Open
36,36,36,37,Vishwanath Mandir Temple,"Architectural Buildings,Sacred & Religious SitesSights & Landmarks",Durbar Marg,"Patan (Lalitpur) 44700, ","Patan (Lalitpur) 44700, ",Temple,27.704948,85.308056,4,Vishwanath Mandir Temple.jpg,Always Open
186,186,186,187,Wanderlust Yoga Treks,"We are a small company driven by our love and passion for the mountains and the yogic lifestyle. Our aim is to show you the magnificence of the Himalayas while offering you a path to see the divine inside yourself through yoga. Our focus is currently on Langtang region, the first Himalayan national park in Nepal, bordering Tibet. An area which displays incredible views and a slow pace of life. We want to offer you the heart and soul of the Himalayas, Nepali culture and yoga practice. Offering group treks and private treks, we are also happy to arrange yoga retreats or classes to suit your needs.",,"Kathmandu 44600, ",Bagmati,"Walking Tour,National Park,Nature & Wildlife Area,Yoga & Pilates,Spas & WellnessTours,Nature & Park",0,0,5,Wanderlust Yoga Treks.jpg,Always Open
13,13,13,14,White Monastery,"Sights & Landmarks,Points of Interest & Landmarks",Sitapaila RoadRamkot,"Kathmandu 44600, ",Bagmati,"Gumba,Religious sites",27.723773,85.369698,4.5,White Monastery.jpg,Always Open
154,154,154,155,Woodcraft Gallery,No description,Saat Ghumti MargaThamel,"Kathmandu 44600, ",Bagmati,"Shopping,Museum,Art Gallery",27.715427,85.308925,5,Woodcraft Gallery.jpg,10:00 AM-7:00 PM
