,Unnamed: 0,Number,P_Name,Desc,locality,District,Zone,Contact_No,Openig_Time,Popular_for,Category,Latitude,Longitude,img_path,Charge
55,55,56,Shambaling Boutique Hotel,"Close to one of the holiest Buddhist stupas and adjacent to a Buddhist monastery, Shambaling is nestled in the heart of Kathmandu‚Äôs Tibetan community in Boudhanath. A 10-minute walk from Boudhanath Stupa, ...MoreClose to one of the holiest Buddhist stupas and adjacent to a Buddhist monastery, Shambaling is nestled in the heart of Kathmandu‚Äôs Tibetan community in Boudhanath. A 10-minute walk from Boudhanath Stupa, ...Morethrough the narrow brick-paved lanes, Shambaling, meaning paradise garden, opens its door to the comforts of true Tibetan culture fused with high end Swiss hospitality. Spread in 35,000 square feet, your address will be a renovated early 70th Tibetan-style house. You have the luxury of choosing from the 28 meticulously designed suits deluxe and standard rooms based on the concept of Kalachakra. Shambaling exquisitely welcomes you to experience a true Tibetan home stay coupled with genuine Swiss hospitality. One of Boudha‚Äôs first guesthouses used by pilgrims from Tibet, the property dates back to early 1970's. Approximately 20 minutes from the international and domestic airport, the hotel is quietly tucked away from the busy streets and fairly close to the peaceful realms of Buddhist heritage sites. Two years in the making, the once old building now houses Shambaling, where old traditions meet modern amenities. While elegantly designed modern rooms and suites mirrors Tibetan aesthetics, every floor represents the Kalachakra elements of Earth, Fire, Water and Sky. Each room‚Äôs ceiling colour complements the custom-made curtains and cushion covers. The exclusively imported linen adds novelty to your private space. Shambaling also opens up its lush green garden, perfect for an outdoor meeting or a relaxation under the Peepal tree while gazing at the colourful prayer flags. If you are in search of some soul-searching, the meditation room might come to your rescue. Rooms and SuitesWith meticulous design and an eagle-eye detail, each of the hotel‚Äôs four floors represents the elements of Earth, Fire, Water and Sky. While white ceilings combined with white curtains and linen gives you the impression of being under a cloudy sky on the first floor, you transcend to the second floor to experience the warmth of red fire. As you climb further, the rooms welcome you with the exquisiteness of blue water on the third level and yellow hue representing earth on the fourth floor. You can choose between Shambaling standard rooms, the monastery-facing or the garden-facing deluxe rooms, or one of the exclusive suites, all equipped to ensure your comfort, luxury and privacy. All rooms while retaining a taste of authentic Tibetan aesthetic are equipped with modern facilities, including suave bathroom, spacious closet and a mini bar. Whether you are in the mood for fine dining or a casual lunch, Shambaling offers you appetizing delicacies for your gastronomic delight.The Lungta Restaurant is a multi-cuisine fine dining restaurant with a menu that caters eastern and western culinary. With an open-counter kitchen, wooden floor and fine cutlery, the restaurant gives you an invigorating dining experience. Shambaling also serves savories in its outdoor facility known as The Lingka, the Garden Restaurant. Overlooking the lush green garden space, you can dine beneath the prayer flags while gazing at the hotel‚Äôs magnificent Tibetan-style architecture. If you want to fulfill your dose of caffeine, our coffee machine La Cimbali serves the world-known Illy coffee. A wide selection of wines and single malt whiskey chosen by the owners awaits you at the Cave Bar. Less","Near the great Boudha Stupa,Near the great Boudha StupaBoudha","Kathmandu 1001, ",Bagmati Zone,01-4916868,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast Buffet,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation,Suites,Bar/Lounge,Concierge,Dry Cleaning,Pool,Room Service",Kathmandu Hotels,27.72668,85.365462,Shambaling Boutique Hotel.jpg,"NPR†2,873 - NPR†4,310 (Based on Average Rates for a Standard Room) "
56,56,57,Aria Boutique Hotel & Spa,,"JP Road, Thamel,JP Road, ThamelThamel","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Air Conditioning,Non-Smoking Hotel,Restaurant,Airport Transportation,Room Service, Suites , Bar/Lounge , Fitness center , Concierge , Spa , Dry Cleaning , Babysitting ,Star rating provided by Expedia.4 Star Hotel ",Kathmandu Hotels,27.711723,85.309057,Aria Boutique Hotel & Spa.jpg,"NPR†4,641 - NPR†7,404 (Based on Average Rates for a Standard Room) "
57,57,58,Ambassador Garden Home,"All rooms have attached bathroom ,LG FHD LED TV & AC (24 hours back up through generator for both heating & cooling )with mini bar ...MoreAll rooms have attached bathroom ,LG FHD LED TV & AC (24 hours back up through generator for both heating & cooling )with mini bar ...MoreLess","Thamel,Thamel","Kathmandu 9681, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service,Suites,Bar/Lounge,Concierge,Dry Cleaning,Free Parking,Pool",Kathmandu Hotels,27.714883,85.309946,Ambassador Garden Home.jpg,"NPR†4,641 - NPR†7,404 (Based on Average Rates for a Standard Room) "
58,58,59,Hotel Shambala,"Hotel Shambala is a contemporary Tibetan themed boutique hotel in Kathmandu, Nepal that offers unparalleled comfort and luxury with the best of Tibetan and Nepalese hospitality. Each of the rooms ...MoreHotel Shambala is a contemporary Tibetan themed boutique hotel in Kathmandu, Nepal that offers unparalleled comfort and luxury with the best of Tibetan and Nepalese hospitality. Each of the rooms ...Morehave been beautifully designed and luxuriously furnished to make each stay a comfortable one. All rooms come equipped with en-suite bathrooms with complimentary herbal toiletries, individually controlled air-conditioners, in-room safe, free Wi-Fi, LED TV with cable channels and tea/coffee making facilitiesThe in house restaurant, Erma cafe offers a range of Continental and Asian cuisines prepared by our experienced chefs. The cafe offers both indoor and outdoor dining options by the garden and waterfall bar. For light snacks and beverages in an exclusive environment, guests are welcome to enjoy the serene ambiance of the roof top lounge- Cloud 9. Signature cocktails and alcoholic beverages are available through the bar.Health and wellness facilities include a beautiful roof-top swimming pool and a full spa offering range of body therapy sessions, massages and facials. Conference facilities and other business services are also available upon request. Less","Bansbari Road,Bansbari RoadNear Narayan Gopal Chowk, Maharajgunj","Kathmandu 44606, ",Bagmati Zone,01-4650251,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast included,Air Conditioning,Pool,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service,Suites,Rooftop Bar,Concierge,Spa,Wheelchair access, Business Center , Dry Cleaning , Rooftop Terrace ",Kathmandu Hotels,27.741793,85.338372,Hotel Shambala.jpg,"NPR†4,641 - NPR†7,404 (Based on Average Rates for a Standard Room) "
59,59,60,Dalai-La Boutique Hotel,,"Chaksibari Marg,Chaksibari MargThamel","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service, Suites , Bar/Lounge , Concierge , Dry Cleaning , Private Balcony ,Star rating provided by Expedia.3 Star Hotel ",Kathmandu Hotels,27.716343,85.310138,Dalai-La Boutique Hotel.jpg,"NPR†8,620 - NPR†13,593 (Based on Average Rates for a Standard Room) "
60,60,61,Hotel Tibet International,,"Boudha,Boudha","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast Buffet,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service, Suites , Rooftop Bar , Concierge , Wheelchair access , Business Center , Dry Cleaning , Rooftop Terrace ,Star rating provided by Expedia.4 Star Hotel ",Kathmandu Hotels,27.720289,85.359491,Hotel Tibet International.jpg,"NPR†9,946 - NPR†17,571 (Based on Average Rates for a Standard Room) "
61,61,62,Gokarna Forest Resort,,"Rajnikunj Gokarna,Rajnikunj Gokarna","Kathmandu 44600, ",Bagmati Zone,01-4451212,9:00 A.M. - 9:00 P.M,",Free Internet,Free Parking,Breakfast included,Air Conditioning,Pool,Non-Smoking Rooms,Restaurant, Room Service , Suites , Bar/Lounge , Fitness center , Concierge , Spa , Wheelchair access , Business Center , Golf course , Dry Cleaning , Shuttle Bus Service , Private Balcony ,Star rating provided by Expedia.4 Star Hotel ",Kathmandu Hotels,27.726637,85.398287,Gokarna Forest Resort.jpg,"NPR†13,372 - NPR†21,770 (Based on Average Rates for a Standard Room) "
62,63,64,Bag Packer's Lodge,"Nameste!! Bag packer's Lodge is centrally located in the heart of thamel, kathmandu's main tourist area. we are surrounded by shops, good restaurant & great entertainment all within walking distance from our ...MoreNameste!! Bag packer's Lodge is centrally located in the heart of thamel, kathmandu's main tourist area. we are surrounded by shops, good restaurant & great entertainment all within walking distance from our ...Morehotel. taxi and car facilities are available should you want to venture further a field. travel & trekking agent are easily accessible. This is typical budget type hotel in thamel. We are proud to be honour, cheap and clean hotel with friendly atmosphere in kathmandu. Less","29 Chaksibari Marg,29 Chaksibari MargCenter Thamel","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service,Family Rooms,Rooftop Bar,Multilingual Staff,Dry Cleaning,Rooftop Terrace,Shuttle Bus Service",Hostels in Kathmandu,27.71659,85.310177,Bag Packer's Lodge.jpg,"NPR†13,372 - NPR†21,770 (Based on Average Rates for a Standard Room) "
63,64,65,Hotel Bliss International,"Hotel Bliss International, located at the heart of Jyatha, Thamel, Kathmandu, provides you royal stay with the mixture of modern amenities, 5 star services from our highly trained friendly staff, comfortable ...MoreHotel Bliss International, located at the heart of Jyatha, Thamel, Kathmandu, provides you royal stay with the mixture of modern amenities, 5 star services from our highly trained friendly staff, comfortable ...Morebed and hygienic food in our in-house restaurant in order to enhance your Nepal Experience. Less","Chhusya Galli,Chhusya GalliJyatha, Thamel","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast included,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service,Suites,Bar/Lounge,Concierge,Dry Cleaning,Rooftop Terrace",Kathmandu B&Bs / Inns,27.710934,85.313046,Hotel Bliss International.jpg,"NPR†13,372 - NPR†21,770 (Based on Average Rates for a Standard Room) "
64,68,69,Hotel Holy Himalaya,,"Brahmakumari Marg,Brahmakumari Marg","Kathmandu 97701, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service,Suites,Bar/Lounge,Concierge,Conference Facilities,Dry Cleaning,Rooftop Terrace,Shuttle Bus Service",Kathmandu Hotels,27.712585,85.312826,Hotel Holy Himalaya.jpg,"NPR†3,536 - NPR†5,415 (Based on Average Rates for a Standard Room) "
65,69,70,Hotel Heranya,We are an eco-friendly hotel. We have made sure that we adhere to eco-friendly criteria from solar water heating system to low power consuming electrical appliances and rain-water harvesting. You will ...MoreWe are an eco-friendly hotel. We have made sure that we adhere to eco-friendly criteria from solar water heating system to low power consuming electrical appliances and rain-water harvesting. You will ...Morecertainly feel that we are a different hotel with top class personalized service. Our solar collectors have copper pipings(very efficient in thermal conduction) with toughened glass. The solar panels heat the water upto 80 degrees celcius and the heated water is stored in a well automated electric back-up insulated tank. During monsoon(rainy season) we have made provision for rain-water harvesting. Kathmandu valley's rain-water is clear and clean. The rain-water is run through a rapid-sand-filter system which works totally through gravity. We also have an efficient filter system to filter the kathmandu's valley's water. The water has been lab-tested and we have maintained Nepal government's set standards. Less,"Tej Bhawan, 440 Uttar Dhoka,Tej Bhawan, 440 Uttar DhokaLazimpat","Kathmandu 44600, ",Bagmati Zone,01-4413374,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast included,Air Conditioning,Non-Smoking Hotel,Restaurant, Airport Transportation , Room Service , Suites , Concierge , Dry Cleaning ",Kathmandu Hotels,27.71875,85.320512,Hotel Heranya.jpg,"NPR†3,536 - NPR†5,415 (Based on Average Rates for a Standard Room) "
66,71,72,Hotel Kumari Inn,"Hotel Kumari Inn is a Tamang family run hotel providing long term accommodation in a modern, comfortable home away from home. The Goddess Kumari is a fusion of Hindu & Buddhist philosophy and reflects ...MoreHotel Kumari Inn is a Tamang family run hotel providing long term accommodation in a modern, comfortable home away from home. The Goddess Kumari is a fusion of Hindu & Buddhist philosophy and reflects ...Moreinnocence, divinity and harmonious tranquillity. The hoteliers Prem and Lalmaya have inspired the values and design of their hotel from this beautiful and protective deity to bring you a true and authentic experience of Nepali culture. We warmly welcome you. Less","Basundhara, Dhapasi,Basundhara, Dhapasi","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast included,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service,Family Rooms,Laundry Service,Pool,Fitness center,Kitchenette",Kathmandu Lodges,27.740661,85.325082,Hotel Kumari Inn.jpg,"NPR†1,547 - NPR†2,210 (Based on Average Rates for a Standard Room) "
67,72,73,At Home Nepal Guest House,,"Jamsikhel,Jamsikhel","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Non-Smoking Rooms,Airport Transportation,Laundry Service,Rooftop Terrace,Star rating provided by Expedia.3 Star Hotel ",Kathmandu B&Bs / Inns,27.678656,85.310357,At Home Nepal Guest House.jpg,"NPR†3,094 - NPR†3,978 (Based on Average Rates for a Standard Room) "
68,73,74,Crowne Plaza Kathmandu-Soaltee,,",","Kathmandu 97, ",Bagmati Zone,00 1 877-859-5095,9:00 A.M. - 9:00 P.M,",Free Internet,Free Parking,Breakfast Buffet,Pool,Non-Smoking Rooms,Restaurant,Airport Transportation, Room Service , Suites , Bar/Lounge , Fitness center , Concierge , Pets Allowed , Spa , Wheelchair access , Business Center , Dry Cleaning , Housekeeping , Babysitting ,Star rating provided by Expedia.5 Star Hotel ",Kathmandu Hotels,27.700717,85.291091,Crowne Plaza Kathmandu-Soaltee.jpg,"NPR†14,477 - NPR†22,323 (Based on Average Rates for a Standard Room) "
69,75,76,Hotel Tibet,"The hotel is located in a walking distance to all major embassies, airline offices, banks, immigration office and the famous shopping centers of Thamel. It is only 8km from the Tribhuvan International Airport ...MoreThe hotel is located in a walking distance to all major embassies, airline offices, banks, immigration office and the famous shopping centers of Thamel. It is only 8km from the Tribhuvan International Airport ...Moreand has a panoramic view of the Kathmandu Valley and the surrounding hills.The hotel offers accommodation of international standard at reasonable rates with all the basic amenities essential for a deluxe hotel. Less","Lazimpat Rd,Lazimpat Rd","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast included,Air Conditioning,Non-Smoking Hotel,Restaurant,Airport Transportation, Room Service , Suites , Rooftop Bar , Concierge , Conference Facilities , Dry Cleaning , Rooftop Terrace ,Star rating provided by Expedia.3 Star Hotel ",Kathmandu Hotels,27.719944,85.320455,Hotel Tibet.jpg,"NPR†14,477 - NPR†22,323 (Based on Average Rates for a Standard Room) "
70,76,77,Karma Travellers Home,,"Thamel,Thamel","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Air Conditioning,Non-Smoking Rooms,Airport Transportation,Laundry Service,Rooftop Terrace,Star rating provided by Expedia.3 Star Hotel ",Kathmandu B&Bs / Inns,27.716264,85.310965,Karma Travellers Home.jpg,"NPR†1,105 - NPR†2,321 (Based on Average Rates for a Standard Room) "
71,77,78,Shangri-la Boutique Hotel,"Shangri-La Boutique Hotel is a unique fusion of classical paintings amidst an urban atmosphere that perfectly captures the essence of Kathmandu, hosting guests from all around the world to share a space and ...MoreShangri-La Boutique Hotel is a unique fusion of classical paintings amidst an urban atmosphere that perfectly captures the essence of Kathmandu, hosting guests from all around the world to share a space and ...Moreindulge in conversations about their homelands as well as of their travels around Nepal. Located very centrally in the tourist hub that Thamel is, our hotel is tucked well inside, giving our guests a quiet sanctuary from the buzzing streets, where they can breathe fresh air from the surrounding greenery. Less","Jyatha Thamel,Jyatha ThamelThamel","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast included,Restaurant,Airport Transportation,Rooftop Bar,Business Center,Dry Cleaning, Rooftop Terrace , Shuttle Bus Service ,Star rating provided by Expedia.2 Star Hotel ",Kathmandu B&Bs / Inns,27.713473,85.313502,Shangri-la Boutique Hotel.jpg,"NPR†1,105 - NPR†2,321 (Based on Average Rates for a Standard Room) "
72,78,79,Annapurna Guest House,"Annapurna Guest House (AGH) run by a friendly Thapa family since 1980 is situated in the northern part of Thamel (main tourist center) in a quiet location, but within two minutes of walking distance to all the ...MoreAnnapurna Guest House (AGH) run by a friendly Thapa family since 1980 is situated in the northern part of Thamel (main tourist center) in a quiet location, but within two minutes of walking distance to all the ...Moreaction. AGH is a leisure place for all kind of travelers, trekkers and businessmen. AGH has 20 neat and clean comfortable rooms at economical rates with modern facilities i.e. attached bathroom (24 hours running hot & cold shower), free Wi-Fi, internet access, cable television, ceiling fan & etc. Annapurna Cafe serves a hygienic fresh foods and variety of cuisines. AGH has a nice Roof-top Garden to view beautiful hills surrounding the Kathmandu valley and Cultural World Heritage Site ""Swoyambhunath Stupa"" (Monkey Temple). We offer free Airport pick up service on prior notice for Deluxe & Standard (not for Economic/Basic) category rooms booking with minimum stay of two consecutive nights with us. Less","Thamel, Gahiti Rd, Near Amrit Marg,Thamel, Gahiti Rd, Near Amrit Marg","Kathmandu 20928, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast Available,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service,Suites,Concierge,Business Center,Dry Cleaning,Rooftop Terrace,Shuttle Bus Service",Kathmandu B&Bs / Inns,27.711565,85.311836,Annapurna Guest House.jpg,"NPR†1,105 - NPR†2,321 (Based on Average Rates for a Standard Room) "
73,79,80,Holyland Guest House,"Holyland Guest House is family environment, friendly staff. we are very happy to give you a very warm Nepalese welcome. Our property has 19 well decorated rooms with modern facilities. Every room is clean and ...MoreHolyland Guest House is family environment, friendly staff. we are very happy to give you a very warm Nepalese welcome. Our property has 19 well decorated rooms with modern facilities. Every room is clean and ...Morecomfortably furnished, with wall carpeting, It has wide bathroom, 24 hour running hot and cold shower, Free WI_FI internet with wareless, cable TV, loundry service, room with balcony in quiet location, roof top garden provide exclent view of Syambunath known and Monkey tomple. Most room are sunny with great value. The Guest House has roof top garden restruent. Our Guest can have breakfast, Lunch and dinner continental, Nepali and Indian foods. Our Guest House lies in heart of Thamel. where most tourists visit and stay for arranging their program. We are within walking distance of many restaurants, shops, and some of Kathmandu's most famous attractions. Location: Our Holyland Guest House is located in the main tourist hub of Thamel and 7 km away from international airport Tourism Development Council office and Tourism Bank in Thamel are also located nearby. Less","Bhagawati Sthan,Bhagawati Sthan29-Thamel","Kathmandu 21851, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast Available,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service,Family Rooms,Multilingual Staff,Laundry Service,Rooftop Terrace,Shuttle Bus Service,Free Parking,Pool",Kathmandu B&Bs / Inns,27.716518,85.311257,Holyland Guest House.jpg,"NPR†1,105 - NPR†2,321 (Based on Average Rates for a Standard Room) "
74,80,81,Potala Guest House,,"J.P Road,J.P RoadChetrapati, Thamel","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Breakfast Available,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service,Bar/Lounge,Concierge,Dry Cleaning",Kathmandu Hotels,27.712251,85.310641,Potala Guest House.jpg,"NPR†1,879 - NPR†3,205 (Based on Average Rates for a Standard Room) "
75,81,82,Hotel Manang,,",","Kathmandu 44601, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast included,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation, Room Service , Suites , Bar/Lounge , Concierge , Wheelchair access , Business Center , Dry Cleaning ,Star rating provided by Expedia.3 Star Hotel ",Kathmandu Hotels,27.717788,85.310058,Hotel Manang.jpg,"NPR†3,757 - NPR†8,178 (Based on Average Rates for a Standard Room) "
76,82,83,Radisson Hotel Kathmandu,,"Lazimpat,Lazimpat","Kathmandu 2269, ",Bagmati Zone,01-4411818,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast included,Air Conditioning,Pool,Non-Smoking Rooms, Restaurant , Airport Transportation , Room Service , Suites , Bar/Lounge , Fitness center , Concierge , Spa , Wheelchair access , Business Center , Dry Cleaning , Rooftop Terrace , Housekeeping , Casino ",Kathmandu Hotels,27.720219,85.320929,Radisson Hotel Kathmandu.jpg,"NPR†14,256 - NPR†20,334 (Based on Average Rates for a Standard Room) "
77,83,84,Zen Bed and Breakfast,"‚Ä¢ 24 hour running hot and cold shower, 24 hour room service, Roof top, Same day Laundry service Safe deposit boxes not in all rooms, Travel information counter, Mailing service, we arrange pick up and drop ...More‚Ä¢ 24 hour running hot and cold shower, 24 hour room service, Roof top, Same day Laundry service Safe deposit boxes not in all rooms, Travel information counter, Mailing service, we arrange pick up and drop ...Moreservice at reasonable cost to airport transportation, Fax & E-mail service, Free local phone calls, Doctor on call, Free WiFi at room and public area, We arrange trekking and tour at affordable cost, we do have our own trekking agency, airline ticket booking(international & domestic),direct bus to india and all touristic place in Nepal. Less","Next to Tom & Jerry's Pub, Central Thamel,Next to Tom & Jerry's Pub, Central Thamelnear Kathmandu Guest House","Kathmandu 6611, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Non-Smoking Rooms,Restaurant,Airport Transportation,Multilingual Staff,Laundry Service,Rooftop Terrace,Free Parking,Breakfast included,Pool,Room Service,Suites,Rooftop Bar",Kathmandu B&Bs / Inns,27.715514,85.310423,Zen Bed and Breakfast.jpg,"NPR†14,256 - NPR†20,334 (Based on Average Rates for a Standard Room) "
78,84,85,Park Village Hotel & Resort,,",Budanil-Kantha","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast included,Pool,Non-Smoking Hotel,Restaurant,Airport Transportation, Room Service , Suites , Bar/Lounge , Fitness center , Kitchenette , Concierge , Spa , Wheelchair access , Business Center , Dry Cleaning , Tennis Court , Self-Serve Laundry , Shuttle Bus Service , Babysitting ,Star rating provided by Expedia.4 Star Hotel ",Kathmandu Hotels,27.774174,85.359808,Park Village Hotel & Resort.jpg,"NPR†4,862 - NPR†10,940 (Based on Average Rates for a Standard Room) "
79,85,86,Hotel Yak & Yeti,,"Durbar Marg,Durbar Marg","Kathmandu 44600, ",Bagmati Zone,01-4248999,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast Buffet,Air Conditioning,Pool,Non-Smoking Rooms,Restaurant, Airport Transportation , Room Service , Suites , Fitness center , Concierge , Spa , Wheelchair access , Business Center , Dry Cleaning , Tennis Court , Casino ,Star rating provided by Expedia.5 Star Hotel ",Kathmandu Hotels,27.71166,85.320115,Hotel Yak & Yeti.jpg,"NPR†14,477 - NPR†23,428 (Based on Average Rates for a Standard Room) "
80,86,87,Samsara Resort,Samsara Resort is a 3 star hotel which has got International Arch of Europe Award 2014 and Certificate of Excellence winner 2013. It is located in the heart of the Thamel in peaceful environment.Ôªø ...MoreSamsara Resort is a 3 star hotel which has got International Arch of Europe Award 2014 and Certificate of Excellence winner 2013. It is located in the heart of the Thamel in peaceful environment.Ôªø ...MoreWith 9 years of positive performance we are please to inform you that Samsara Resort has been designed as a peaceful haven. Less,"Bhagabati Marga,Bhagabati MargaThamel","Kathmandu 00977, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast included,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service,Suites,Concierge,Dry Cleaning,Rooftop Terrace,Pool",Kathmandu Hotels,18.2729,-78.36695,Samsara Resort.jpg,"NPR†14,477 - NPR†23,428 (Based on Average Rates for a Standard Room) "
81,87,88,Hotel Annapurna,,",","Kathmandu 14229, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast included,Air Conditioning,Pool,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service,Suites,Bar/Lounge,Fitness center,Concierge,Spa, Wheelchair access , Business Center , Dry Cleaning ",Kathmandu Hotels,33.888975,-118.353317,Hotel Annapurna.jpg,"NPR†11,825 - NPR†15,582 (Based on Average Rates for a Standard Room) "
82,88,89,"Mirage Lords Inn, Kathmandu",,"310 Battisputali Road,310 Battisputali RoadNear Int Airport","Kathmandu 44600, ",Bagmati Zone,980-1001777,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast included,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation, Room Service , Suites , Bar/Lounge , Concierge , Wheelchair access , Business Center , Dry Cleaning ,Star rating provided by Expedia.3 Star Hotel ",Kathmandu Hotels,27.703806,85.341619,"Mirage Lords Inn, Kathmandu.jpg","NPR†4,089 - NPR†8,067 (Based on Average Rates for a Standard Room) "
83,89,90,Retreat Serviced Apartments,,"Swayambumarg, Bijeswhori,Swayambumarg, Bijeswhori","Kathmandu 44600, ",Bagmati Zone,980-1098941,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Air Conditioning,Non-Smoking Hotel,Airport Transportation,Suites,Fitness center,Kitchenette,Concierge,Wheelchair access,Dry Cleaning",Apartment Hotels in Kathmandu,27.713257,85.29795,Retreat Serviced Apartments.jpg,"NPR†6,189 - NPR†8,730 (Based on Average Rates for a Standard Room) "
84,90,91,Mandala Boutique Hotel,,"Dhobi Chaur, Chetrapati,Dhobi Chaur, ChetrapatiThamel","Kathmandu 00977, ",Bagmati Zone,01-4254511,9:00 A.M. - 9:00 P.M,,Kathmandu Hotels,0,0,Mandala Boutique Hotel.jpg,"NPR†4,420 - NPR†10,940 (Based on Average Rates for a Standard Room) "
85,94,95,Maya Manor Boutique Hotel,"Maya Manor is a historic mansion turned boutique hotel. The original building of the mansion was built by the first chief of police in Nepal, Toran Sumsher Rana in 1935. This was also the official residence of ...MoreMaya Manor is a historic mansion turned boutique hotel. The original building of the mansion was built by the first chief of police in Nepal, Toran Sumsher Rana in 1935. This was also the official residence of ...MoreChinese Ambassadors for 10 years in the 1960‚Äôs. In 1974, the Sakya family of the KGH Group of Hotels and Resorts bought the mansion and lived here until it was converted into a boutique hotel in 2016. In 2008, The Carter Center moved to the south wing of the mansion to monitor the historic election that marked the transition from the monarchical rule to parliamentary democracy in Nepal. President Carter came regularly to the Maya Manor to oversee the mission. The south wing has been named the Carter Wing in honor of his mission and his time at the mansion. The magnificently restored Maya Manor stands tall near the former Royal Palace showcasing the architectural grandeur of European colonial influence in South Asia. This style of architecture is a combination of Palladian, Corinthian, Neoclassical, and Baroque, and was introduced to Nepal by its aristocratic dictators, the Ranas (1846-1951). In order to maintain sovereignty and make peace with British Raj, the Ranas went on diplomatic missions to Britain and brought back this type of architectural flavor. These European- influenced mansions are peppered throughout the valley, some of which are notable governmental buildings like the Singha Durbar (Parliament and House of Representatives) and the Rastrapati Bhawan (Official Presidential Residence). The earthquake in 2015 partially damaged the mansion, but it was meticulously renovated by the founding Chairman of the KGH chain, Karna Sakya. A new block of seven-storied buildings with the same old colonial architecture was added to turn it into a hotel in 2016. Less","Palace Museum Road,Palace Museum Road","Kathmandu 44600, ",Bagmati Zone,Not Available,9:00 A.M. - 9:00 P.M,",Free Wifi,Free Parking,Breakfast included,Air Conditioning,Non-Smoking Rooms,Restaurant,Airport Transportation,Room Service,Suites,Bar/Lounge,Concierge,Wheelchair access,Business Center,Dry Cleaning, Shuttle Bus Service ",Kathmandu Hotels,27.71338,85.322678,Maya Manor Boutique Hotel.jpg,"NPR†3,205 - NPR†5,304 (Based on Average Rates for a Standard Room) "
